record_id,gender,study_year,bac_specialty,how many hours per week do you spend studying personnal efforts,study_place,study_style,learning_methods,what types of resources do you use most,use_schedule,5 fifth,6 sixth,7 seventh,8 eighth,rate your satisfaction with the school s program,your level of motivation for joining ensia,how much do you like the field of artificial intelligence,sleep_hours,how well do you handle stress and pressure,in a scale of 1 to 10 how do you rate your level in the following fields 1 english,2 programming,3 computer science,4 mathematics,4 forth,how do others feedbacks influence you,year_ordinal,inferred_year_from_grades,1y average s1,1y average s2,1y average,1y foundational mathematics,1y dsa1,1y digital systems,1y information technology essentials,1y english 1,1y cpsct,1y oop,1y introduction to linux,1y linear algebra,1y mathematical analysis 1,1y introduction to statistics,1y english 2,1y intensive english,1y seminar,1y analysis i,1y algebra,1y a com i,1y intro prog c,1y analysis ii,1y a com ii,1y proba stat,for the next 8 questions you will have a list of problems obstacles classify them according to how much they influence your studies 1 first_encoded,2 second_encoded,3 third_encoded,4 fourth_encoded,other problems that you face_encoded,do you engage in any external activities not related to the study field_encoded,how do other s feedback influence you_encoded
98,Female,Second year,Mathematics,18-25,At home,In peer,Learning by practicing;Online courses and tutorials,Online documents;YouTube videos,Yes,Pressure,Teaching language,Private life problems,Not having a good (powerful) computer,1.0,3.0,3.0,5-7 hours,2.0,7.0,7.0,6.0,6.0,Lack of previous knowledge or experience in the field,You do not care about,2,1.0,14.0,13.0,13.0,High,Moderate,High,High,High,High,High,High,Moderate,High,Moderate,High,High,High,Very High,High,Moderate,High,High,High,Moderate,5,1,2,0,8,0,1
99,Male,Second year,Science,10-17,In the school's library,In peer,"Learning by practicing, Project-based learning, Mind mapping and visualization","YouTube videos, Private courses",No,Bad quality of internet,Lack of time,Private life problems,Not having a good (powerful) computer,3.0,3.0,5.0,8 hours or more,5.0,6.0,7.0,8.0,6.0,Pressure,You do not care about,2,1.0,14.0,13.0,13.0,High,Moderate,High,High,High,High,High,High,Moderate,High,Moderate,High,Very High,High,Very High,High,High,High,Very High,High,High,1,7,6,1,8,1,2
100,Female,Third year,Science,10-17,At home,Alone,Learning by practicing;Project-based learning;Mind mapping and visualization;Online courses and tutorials,Books;Online tutorials;Online documents;YouTube videos,No,Lack of previous knowledge or experience in the field,Not having a good (powerful) computer,Bad quality of internet,Teaching language,3.0,4.0,5.0,5-7 hours,4.0,7.0,8.0,7.0,7.0,Bad quality of internet,You do not care about,3,2.0,14.0,13.0,13.0,High,Moderate,High,High,High,High,High,High,Moderate,Very High,Moderate,High,Very High,High,Very High,High,High,High,Very High,High,High,2,4,6,5,14,1,1
101,Female,Second year,Science,18-25,At home,Alone,Lectures;Online courses and tutorials,Online documents,No,Teachers' teaching method,Bad quality of internet,Not having a good (powerful) computer,Teaching language,2.0,4.0,3.0,8 hours or more,5.0,7.0,8.0,8.0,6.0,Lack of previous knowledge or experience in the field,You do not care about,2,1.0,14.0,13.0,13.0,High,Moderate,High,High,High,High,High,High,Moderate,High,Moderate,High,Very High,High,Very High,High,High,High,Very High,High,High,2,4,1,5,28,1,2
102,Female,Second year,Mathematics,18-25,In the dorms' library,In peer,Learning by practicing,YouTube videos,Yes,Teaching language,Private life problems,Bad quality of internet,Not having a good (powerful) computer,2.0,3.0,3.0,5-7 hours,2.0,5.0,6.0,6.0,6.0,Lack of previous knowledge or experience in the field,You do not care about,2,1.0,14.0,13.0,13.0,Moderate,Moderate,High,Moderate,High,High,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Very High,High,Very High,High,High,High,Very High,High,High,3,1,6,2,8,0,0
103,Female,Third year,Mathematics,10-17,At home,Alone,Lectures;Learning by practicing,Online tutorials;YouTube videos,No,Pressure,Teaching language,Lack of time,Private life problems,2.0,2.0,2.0,8 hours or more,4.0,7.0,7.0,7.0,9.0,Bad quality of internet,You do not care about,3,3.0,14.0,13.0,13.0,Moderate,Moderate,High,Moderate,High,High,Moderate,Moderate,Moderate,High,High,High,Very High,High,Very High,High,High,High,Very High,High,High,1,0,6,4,4,1,2
104,Male,Second year,Mathematics,18-25,In your room (dorms),Alone,"Mind mapping and visualization, Online courses and tutorials","Online tutorials, Online documents, YouTube videos",Yes,Lack of time,Bad quality of internet,Teaching language,Not having a good (powerful) computer,2.0,3.0,3.0,5-7 hours,3.0,6.0,6.0,6.0,8.0,Private life problems,Negatively,2,1.0,14.0,13.0,13.0,Moderate,Moderate,High,Moderate,High,Moderate,High,Moderate,Moderate,High,High,High,High,High,Very High,High,Moderate,High,Very High,High,Moderate,5,1,4,1,8,1,2
105,Female,Third year,Technical maths,18-25,In the school's library,With a group,Learning by practicing;Project-based learning;Mind mapping and visualization;Interactive workshops,Online tutorials;YouTube videos,Yes,Bad quality of internet,Private life problems,Not having a good (powerful) computer,Teaching language,3.0,3.0,5.0,5-7 hours,4.0,8.0,7.0,8.0,7.0,Bad quality of internet,You do not care about,3,2.0,14.0,13.0,13.0,Moderate,High,High,Moderate,High,Very High,High,Moderate,Moderate,High,Moderate,High,High,High,Very High,High,Moderate,High,Very High,High,Moderate,2,4,6,1,4,1,1
106,Female,Second year,Mathematics,18-25,In the school's library,With a group,Lectures;Online courses and tutorials,Online documents;YouTube videos,Yes,Private life problems,Teaching language,Private life problems,Not having a good (powerful) computer,2.0,3.0,2.0,8 hours or more,2.0,7.0,7.0,7.0,8.0,Lack of previous knowledge or experience in the field,You do not care about,2,1.0,14.0,13.0,13.0,High,High,Moderate,High,High,Very High,High,High,Moderate,Very High,Moderate,High,High,High,Very High,High,Moderate,High,Very High,High,Moderate,3,6,2,0,2,1,0
107,Female,Third year,Science,18-25,At home,In peer,Learning by practicing;Project-based learning;Mind mapping and visualization;Online courses and tutorials,Online documents;YouTube videos,Yes,Bad quality of internet,Private life problems,Teachers' teaching method,Not having a good (powerful) computer,3.0,3.0,5.0,5-7 hours,3.0,8.0,8.0,8.0,8.0,Bad quality of internet,You do not care about,3,2.0,14.0,13.0,13.0,High,High,Moderate,High,High,Very High,High,High,Moderate,Very High,Moderate,High,High,High,Very High,High,Moderate,High,Very High,High,Moderate,2,4,1,6,4,0,1
108,Female,Second year,Mathematics,10-17,At home,Alone,Online courses and tutorials,Online documents,No,Bad quality of internet,Not having a good (powerful) computer,Teaching language,Private life problems,2.0,4.0,4.0,5-7 hours,2.0,7.0,6.0,6.0,5.0,Teachers' teaching method,Negatively,2,1.0,15.0,11.0,13.0,High,High,Moderate,High,High,High,Moderate,High,Low,Very High,Moderate,High,Very High,High,Very High,High,High,Moderate,High,Very High,High,2,4,1,1,8,0,2
109,Male,Second year,Mathematics,10-17,In your room (dorms),Alone,Online courses and tutorials,YouTube videos,No,Teachers' teaching method,Bad quality of internet,Not having a good (powerful) computer,Teaching language,4.0,4.0,5.0,5-7 hours,2.0,7.0,5.0,3.0,5.0,Private life problems,Positively,2,1.0,15.0,12.0,13.0,High,High,Moderate,High,High,High,High,High,High,Very High,Moderate,High,Very High,High,High,High,High,High,Moderate,High,Moderate,2,1,4,1,8,0,2
110,Female,Second year,Mathematics,18-25,In the school's library,In peer,"Learning by practicing, Project-based learning, Online courses and tutorials","Books, Online tutorials, Online documents, YouTube videos",Yes,Not having a good (powerful) computer,Bad quality of internet,Private life problems,Teaching language,2.0,4.0,4.0,5-7 hours,2.0,9.0,5.0,5.0,7.0,Pressure,You do not care about,2,1.0,15.0,12.0,13.0,High,High,Moderate,High,High,High,High,High,Moderate,Very High,Moderate,High,Very High,High,High,Moderate,Very High,Moderate,Very High,Very High,Moderate,5,2,1,1,8,1,2
111,Male,Second year,Mathematics,18-25,In your room (dorms),Alone,Learning by practicing,"Books, YouTube videos",Yes,Teaching language,Bad quality of internet,Not having a good (powerful) computer,Private life problems,3.0,3.0,4.0,5-7 hours,2.0,8.0,6.0,6.0,5.0,Lack of previous knowledge or experience in the field,Positively,2,1.0,15.0,12.0,13.0,High,High,Moderate,High,High,High,High,High,Moderate,Very High,Moderate,High,Very High,High,Very High,High,High,High,High,Very High,Moderate,2,4,6,1,8,1,2
112,Female,Second year,Science,18-25,In the school's library,In peer,"Learning by practicing, Mind mapping and visualization, Online courses and tutorials",YouTube videos,Yes,Bad quality of internet,Lack of previous knowledge or experience in the field,Not having a good (powerful) computer,Teaching language,2.0,3.0,4.0,5-7 hours,3.0,8.0,6.0,7.0,8.0,Teachers' teaching method,Negatively,2,1.0,15.0,12.0,13.0,High,High,Moderate,High,High,High,Moderate,High,Moderate,Very High,Moderate,High,Very High,High,Very High,High,Very High,Moderate,High,Very High,Moderate,2,4,5,1,8,0,2
113,Male,Second year,Science,18-25,In your room (dorms),Alone,"Learning by practicing, Mind mapping and visualization, Online courses and tutorials","Books, Online tutorials, Online documents, YouTube videos",Yes,Not having a good (powerful) computer,Pressure,Bad quality of internet,Teaching language,2.0,5.0,4.0,5-7 hours,4.0,6.0,5.0,7.0,7.0,Lack of time,Negatively,2,1.0,15.0,12.0,13.0,High,High,Moderate,High,High,Very High,High,High,Moderate,Very High,Moderate,High,Very High,High,Very High,High,High,High,High,High,Low,4,6,1,1,8,1,2
114,Female,Second year,Science,More than 41 hours,In your room (dorms),With a group,Learning by practicing,"Online tutorials, YouTube videos",Yes,Private life problems,Bad quality of internet,Teaching language,Not having a good (powerful) computer,2.0,3.0,4.0,5-7 hours,3.0,8.0,7.0,3.0,8.0,Pressure,You do not care about,2,1.0,15.0,12.0,13.0,High,High,Moderate,High,High,Very High,High,High,Moderate,Very High,Moderate,High,Very High,High,Very High,Moderate,High,High,High,High,Moderate,1,2,6,1,8,0,2
115,Male,Second year,Mathematics,18-25,In the school's library,In peer,"Lectures, Learning by practicing, Project-based learning","Books, Online documents, YouTube videos",No,Lack of previous knowledge or experience in the field,Bad quality of internet,Teaching language,Not having a good (powerful) computer,1.0,4.0,5.0,8 hours or more,2.0,8.0,7.0,8.0,3.0,Lack of time,Negatively,2,1.0,15.0,13.0,13.0,High,High,Moderate,High,High,High,High,High,Moderate,Very High,Moderate,High,High,High,Very High,High,Moderate,High,High,High,Moderate,4,6,4,1,8,0,2
116,Male,Second year,Science,10-17,In your room (dorms),Alone,Mind mapping and visualization;Online courses and tutorials,YouTube videos,No,Private life problems,Not having a good (powerful) computer,Bad quality of internet,Teaching language,2.0,5.0,4.0,8 hours or more,3.0,6.0,5.0,4.0,4.0,Lack of previous knowledge or experience in the field,You do not care about,2,1.0,16.0,10.0,13.0,High,High,Very High,High,High,High,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,High,High,Very High,High,Moderate,High,High,High,Moderate,1,6,2,4,8,0,2
117,Female,Second year,Science,18-25,At home,Alone,Mind mapping and visualization;Interactive workshops;Online courses and tutorials,YouTube videos;Private courses,Yes,Bad quality of internet,Teaching language,Private life problems,Not having a good (powerful) computer,2.0,4.0,2.0,8 hours or more,2.0,5.0,5.0,5.0,4.0,Lack of previous knowledge or experience in the field,You do not care about,2,1.0,16.0,10.0,13.0,High,High,Moderate,Moderate,Very High,High,Moderate,Very High,High,Low,Moderate,High,High,High,Very High,High,Moderate,High,High,High,Moderate,3,2,6,1,8,1,1
118,Male,Second year,Mathematics,10-17,At home,Alone,"Learning by practicing, Mind mapping and visualization, Online courses and tutorials","Books, Online tutorials, YouTube videos",No,Lack of previous knowledge or experience in the field,Private life problems,Pressure,Not having a good (powerful) computer,3.0,4.0,4.0,5-7 hours,4.0,8.0,8.0,7.0,7.0,Teaching language,Positively,2,1.0,13.0,14.0,14.0,High,High,Moderate,Moderate,Very High,High,High,Very High,Moderate,Low,Moderate,High,High,High,High,High,Moderate,High,Very High,Very High,High,2,0,6,1,8,1,2
119,Male,Third year,Mathematics,10-17,At home,Alone,Learning by practicing;Project-based learning;Online courses and tutorials,Online tutorials;Online documents;YouTube videos,No,Pressure,Bad quality of internet,Private life problems,Teaching language,2.0,3.0,4.0,5-7 hours,3.0,8.0,8.0,7.0,7.0,Bad quality of internet,You do not care about,3,2.0,13.0,14.0,14.0,High,High,Moderate,Moderate,Very High,High,High,Very High,Moderate,Low,Moderate,High,High,High,High,High,Moderate,High,Very High,Very High,High,2,1,6,3,4,1,2
120,Female,Second year,Science,34-41,In the school's library,Alone,Lectures;Learning by practicing;Mind mapping and visualization,Books;Online tutorials;Online documents;YouTube videos,Yes,Private life problems,Lack of previous knowledge or experience in the field,Bad quality of internet,Not having a good (powerful) computer,3.0,3.0,4.0,5-7 hours,2.0,7.0,4.0,3.0,5.0,Lack of previous knowledge or experience in the field,You do not care about,2,1.0,13.0,15.0,14.0,Moderate,Moderate,Moderate,Very High,Very High,Moderate,High,Very High,Moderate,High,Very High,Very High,High,High,High,High,Moderate,High,Very High,Very High,High,5,4,2,1,8,1,2
121,Female,Second year,Mathematics,10-17,In your room (dorms),Alone,Lectures;Learning by practicing;Project-based learning;Online courses and tutorials,Online tutorials;Online documents;YouTube videos,No,Private life problems,Not having a good (powerful) computer,Pressure,Teaching language,4.0,4.0,4.0,8 hours or more,5.0,7.0,9.0,8.0,9.0,Lack of previous knowledge or experience in the field,You do not care about,2,1.0,13.0,15.0,14.0,Very Low,Very High,Very High,Very High,Low,Very Low,High,Very High,High,Very High,High,Very Low,High,High,High,High,Moderate,High,Very High,Very High,High,5,1,6,0,8,1,2
122,Female,Fourth year,Mathematics,18-25,In your room (dorms),Alone,Lectures;Learning by practicing;Project-based learning;Interactive workshops;Online courses and tutorials,Books;Online documents;YouTube videos,Yes,Not having a good (powerful) computer,Teachers' teaching method,Private life problems,Teaching language,4.0,2.0,5.0,5-7 hours,3.0,8.0,9.0,9.0,9.0,Unknown,Unknown,4,3.0,13.0,15.0,14.0,Very Low,Very High,Very High,Very High,Low,Very Low,High,Very High,High,Very High,High,Very Low,High,High,High,High,Moderate,High,Very High,Very High,High,0,4,1,2,21,1,1
123,Male,Second year,Mathematics,26-33,In the school's library,Alone,Learning by practicing;Online courses and tutorials,Online tutorials;Online documents;YouTube videos,Yes,Private life problems,Teaching language,Bad quality of internet,Not having a good (powerful) computer,3.0,3.0,4.0,5-7 hours,2.0,8.0,7.0,7.0,6.0,Lack of previous knowledge or experience in the field,You do not care about,2,1.0,14.0,13.0,14.0,High,High,High,Moderate,High,Moderate,High,High,Moderate,Moderate,Moderate,Moderate,High,High,High,High,Moderate,High,Very High,Very High,High,3,2,6,1,15,1,1
124,Male,Second year,Mathematics,10-17,In your room (dorms),Alone,Lectures;Mind mapping and visualization,Books;Online documents;YouTube videos,No,Pressure,Not having a good (powerful) computer,Lack of time,Bad quality of internet,2.0,3.0,4.0,5-7 hours,3.0,8.0,6.0,6.0,5.0,Lack of previous knowledge or experience in the field,You do not care about,2,1.0,14.0,13.0,14.0,High,High,High,Moderate,High,Moderate,High,High,Moderate,Moderate,Moderate,Moderate,High,High,High,High,Moderate,High,Very High,Very High,High,5,5,2,4,8,0,2
125,Male,Second year,Science,10-17,In your room (dorms),Alone,Learning by practicing;Project-based learning,Books;Online tutorials;Online documents,Yes,Not having a good (powerful) computer,Teaching language,Lack of previous knowledge or experience in the field,Private life problems,1.0,5.0,5.0,8 hours or more,4.0,8.0,9.0,9.0,7.0,Lack of previous knowledge or experience in the field,You do not care about,2,1.0,14.0,13.0,14.0,High,High,High,Moderate,High,Moderate,High,High,Moderate,Moderate,Moderate,Moderate,High,High,High,High,Moderate,High,Very High,Very High,High,0,6,2,4,8,1,1
126,Male,Second year,Science,34-41,In your room (dorms),In peer,Lectures;Learning by practicing;Online courses and tutorials,Online tutorials;Online documents;YouTube videos,No,Lack of previous knowledge or experience in the field,Not having a good (powerful) computer,Teaching language,Bad quality of internet,3.0,3.0,4.0,5-7 hours,4.0,7.0,7.0,7.0,8.0,Lack of previous knowledge or experience in the field,You do not care about,2,1.0,14.0,14.0,14.0,High,High,Moderate,High,High,High,High,High,High,High,High,High,High,High,High,High,Moderate,High,Very High,Very High,High,2,6,5,4,8,1,2
127,Male,Second year,Mathematics,34-41,At home,Alone,Lectures;Learning by practicing;Mind mapping and visualization,Online tutorials;Online documents;YouTube videos,No,Pressure,Bad quality of internet,Lack of time,Not having a good (powerful) computer,2.0,3.0,4.0,5-7 hours,3.0,7.0,8.0,7.0,7.0,Lack of previous knowledge or experience in the field,You do not care about,2,1.0,14.0,14.0,14.0,High,Moderate,High,Very High,High,High,High,High,High,Moderate,High,High,High,High,High,High,Moderate,High,Very High,Very High,High,4,1,6,7,8,0,0
128,Female,Third year,Science,34-41,In your room (dorms),Alone,Lectures;Learning by practicing;Project-based learning;Online courses and tutorials,Online tutorials;Online documents;YouTube videos,No,Teachers' teaching method,Lack of previous knowledge or experience in the field,Teaching language,Not having a good (powerful) computer,3.0,5.0,5.0,5-7 hours,4.0,8.0,9.0,8.0,7.0,Bad quality of internet,You do not care about,3,2.0,14.0,14.0,14.0,High,Moderate,High,Very High,Very High,High,Moderate,High,Low,Moderate,High,High,High,High,High,High,Moderate,High,Very High,Very High,High,3,2,0,5,4,1,1
129,Male,Second year,Mathematics,18-25,In your room (dorms),Alone,"Lectures, Learning by practicing","Online tutorials, Online documents, YouTube videos",No,Teaching language,Lack of time,Private life problems,Not having a good (powerful) computer,1.0,2.0,5.0,5-7 hours,1.0,7.0,7.0,7.0,7.0,Bad quality of internet,You do not care about,2,1.0,14.0,14.0,14.0,High,Moderate,High,Very High,Very High,High,High,High,Moderate,Moderate,High,High,Very High,High,High,High,Moderate,High,Very High,High,High,5,1,4,1,8,0,2
130,Male,Second year,Technical maths,18-25,In your room (dorms),Alone,Lectures;Learning by practicing;Online courses and tutorials,Online tutorials;Online documents,Yes,Teachers' teaching method,Lack of previous knowledge or experience in the field,Private life problems,Teaching language,3.0,4.0,4.0,5-7 hours,4.0,5.0,7.0,7.0,6.0,Lack of previous knowledge or experience in the field,You do not care about,2,1.0,14.0,14.0,14.0,Moderate,High,High,Very High,Moderate,Moderate,Moderate,High,High,High,High,Moderate,Very High,High,High,High,Moderate,High,Very High,High,High,2,4,0,3,8,0,1
131,Male,Third year,Science,10-17,At home,In peer,Learning by practicing;Project-based learning;Mind mapping and visualization;Interactive workshops;Online courses and tutorials,YouTube videos,No,Pressure,Private life problems,Bad quality of internet,Not having a good (powerful) computer,4.0,3.0,3.0,8 hours or more,5.0,7.0,7.0,7.0,7.0,Bad quality of internet,You do not care about,3,2.0,14.0,14.0,14.0,Moderate,High,High,Very High,High,Moderate,Moderate,High,Low,Moderate,Moderate,High,Very High,High,High,High,Moderate,High,Very High,High,High,6,1,6,2,4,1,1
132,Male,Second year,Mathematics,26-33,In the school's library,Alone,"Learning by practicing, Online courses and tutorials","Online tutorials, YouTube videos",Yes,Teaching language,Bad quality of internet,Lack of time,Not having a good (powerful) computer,2.0,4.0,4.0,8 hours or more,2.0,7.0,7.0,7.0,8.0,Private life problems,Positively,2,1.0,14.0,14.0,14.0,Moderate,High,High,Very High,High,Moderate,High,High,Moderate,Moderate,Moderate,High,Very High,High,High,High,High,High,Very High,Very High,High,3,1,6,1,8,1,2
133,Female,Second year,Mathematics,18-25,In the school's library,Alone,Lectures;Learning by practicing;Online courses and tutorials,Books;Online tutorials;YouTube videos,Yes,Private life problems,Lack of previous knowledge or experience in the field,Teaching language,Not having a good (powerful) computer,3.0,5.0,4.0,5-7 hours,2.0,9.0,7.0,7.0,5.0,Lack of previous knowledge or experience in the field,You do not care about,2,1.0,14.0,14.0,14.0,High,High,Moderate,Very High,High,Moderate,High,High,Moderate,Moderate,Moderate,Moderate,Very High,High,High,High,High,High,Very High,Very High,High,3,2,0,6,16,1,1
134,Male,Second year,Mathematics,10-17,In your room (dorms),In peer,Online courses and tutorials,Online tutorials;Online documents;YouTube videos,No,Private life problems,Private life problems,Private life problems,Private life problems,3.0,4.0,4.0,8 hours or more,5.0,8.0,9.0,10.0,7.0,Lack of previous knowledge or experience in the field,You do not care about,2,1.0,14.0,14.0,14.0,High,High,High,Very High,High,Moderate,High,Very High,Moderate,High,Very High,High,Very High,High,High,High,High,High,Very High,Very High,High,4,5,5,5,10,1,2
135,Female,Second year,Science,More than 41 hours,In your room (dorms),Alone,"Learning by practicing, Project-based learning, Online courses and tutorials","Online tutorials, Online documents, YouTube videos",No,Lack of previous knowledge or experience in the field,Private life problems,Teaching language,Not having a good (powerful) computer,3.0,4.0,5.0,5-7 hours,4.0,9.0,8.0,7.0,7.0,Pressure,Positively,2,1.0,14.0,14.0,14.0,High,High,High,Very High,High,Very High,High,Very High,Moderate,High,Very High,High,Very High,High,High,High,High,High,Very High,Very High,High,2,0,6,1,8,1,2
136,Male,Third year,Science,10-17,In your room (dorms),In peer,Lectures;Mind mapping and visualization,YouTube videos;Resources provided by teachers (slides),No,Not having a good (powerful) computer,Bad quality of internet,Private life problems,Teaching language,4.0,5.0,5.0,5-7 hours,5.0,8.0,8.0,8.0,8.0,Bad quality of internet,You do not care about,3,2.0,14.0,14.0,14.0,Moderate,Very High,High,Very High,High,Very High,High,Very High,Moderate,High,Very High,High,Very High,High,High,High,High,High,Very High,Very High,High,2,4,0,6,19,1,1
137,Female,Fourth year,Technical maths,More than 41,In your room (dorms),Alone,Lectures;Learning by practicing;Online courses and tutorials,Books;Online documents,Yes,Lack of previous knowledge or experience in the field,Private life problems,Not having a good (powerful) computer,Teaching language,2.0,3.0,4.0,5-7 hours,3.0,7.0,6.0,7.0,9.0,Unknown,Unknown,4,3.0,14.0,14.0,14.0,Moderate,Very High,High,Very High,High,Very High,High,Very High,Moderate,High,Very High,High,Very High,High,High,High,High,High,Very High,Very High,High,5,2,0,4,21,0,2
138,Male,Fourth year,Mathematics,18-25,In your room (dorms),Alone,Learning by practicing;Project-based learning,Books,No,Pressure,Lack of time,Not having a good (powerful) computer,Teaching language,3.0,3.0,4.0,5-7 hours,2.0,9.0,8.0,7.0,7.0,Unknown,Unknown,4,3.0,14.0,14.0,14.0,Moderate,Very High,High,Very High,High,Very High,High,Very High,Moderate,High,Very High,High,Very High,High,High,High,High,High,Very High,Very High,High,4,6,2,1,21,1,2
139,Male,Fourth year,Mathematics,10-17,In the school's library,In peer,Project-based learning;Interactive workshops,Books;Online tutorials,No,Not having a good (powerful) computer,Private life problems,Bad quality of internet,Teaching language,2.0,4.0,4.0,8 hours or more,2.0,9.0,9.0,9.0,7.0,Unknown,Unknown,4,2.0,14.0,14.0,14.0,Moderate,Very High,High,Very High,High,Very High,High,Very High,Moderate,High,Very High,High,Very High,High,High,High,High,High,Very High,Very High,High,3,2,6,1,21,1,2
140,Female,Second year,Mathematics,10-17,In the school's library,Alone,Online courses and tutorials,Online tutorials;YouTube videos,No,Private life problems,Not having a good (powerful) computer,Teaching language,Bad quality of internet,3.0,3.0,4.0,5-7 hours,2.0,7.0,6.0,6.0,6.0,Lack of previous knowledge or experience in the field,You do not care about,2,1.0,15.0,13.0,14.0,Moderate,Moderate,High,High,High,High,High,High,Low,High,High,Moderate,Very High,High,High,High,High,High,Very High,Very High,High,5,2,1,4,8,0,2
141,Male,Second year,Science,26-33,In the school's library,Alone,"Learning by practicing, Interactive workshops","Online documents, YouTube videos",No,Lack of previous knowledge or experience in the field,Teachers' teaching method,Not having a good (powerful) computer,Teaching language,2.0,3.0,4.0,5-7 hours,3.0,9.0,8.0,8.0,6.0,Private life problems,Positively,2,1.0,15.0,13.0,14.0,Moderate,Moderate,High,High,High,High,High,High,Moderate,High,High,Moderate,Very High,High,Very High,High,High,High,High,High,High,3,2,0,1,8,1,2
142,Male,Second year,Mathematics,10-17,In the school's library,Alone,Lectures;Learning by practicing;Online courses and tutorials,Online tutorials;Online documents,No,Pressure,Teaching language,Not having a good (powerful) computer,Private life problems,2.0,3.0,5.0,5-7 hours,4.0,9.0,8.0,9.0,8.0,Lack of previous knowledge or experience in the field,You do not care about,2,1.0,15.0,13.0,14.0,High,High,High,High,Very High,High,High,High,Moderate,Moderate,High,High,Very High,High,Very High,High,High,High,High,High,High,5,2,0,1,12,0,1
143,Male,Third year,Mathematics,10-17,In your room (dorms),Alone,Learning by practicing;Project-based learning;Mind mapping and visualization,Books;YouTube videos,No,Lack of previous knowledge or experience in the field,Private life problems,Not having a good (powerful) computer,Teaching language,3.0,5.0,5.0,8 hours or more,5.0,4.0,8.0,8.0,9.0,Bad quality of internet,You do not care about,3,2.0,15.0,13.0,14.0,High,Moderate,Moderate,Moderate,High,High,High,Moderate,Moderate,Very High,High,High,Very High,High,Very High,High,High,High,High,High,High,2,6,1,0,31,0,2
144,Female,Second year,Science,18-25,In your room (dorms),Alone,"Learning by practicing, Project-based learning","Books, Online tutorials, Online documents, YouTube videos",Yes,Private life problems,Teaching language,Lack of previous knowledge or experience in the field,Not having a good (powerful) computer,3.0,4.0,5.0,5-7 hours,3.0,9.0,9.0,9.0,7.0,Bad quality of internet,You do not care about,2,1.0,15.0,13.0,14.0,High,Moderate,Moderate,Moderate,High,High,High,Moderate,Moderate,Very High,High,High,Very High,High,Very High,High,High,High,High,Very High,Moderate,3,2,6,1,8,1,2
145,Male,Second year,Mathematics,10-17,In your room (dorms),Alone,Lectures;Learning by practicing,"Books;YouTube videos;chatgpt, course slides",No,Bad quality of internet,Not having a good (powerful) computer,Teaching language,Private life problems,4.0,4.0,4.0,8 hours or more,1.0,6.0,5.0,5.0,5.0,Lack of previous knowledge or experience in the field,You do not care about,2,1.0,15.0,13.0,14.0,Moderate,High,High,High,Moderate,Moderate,High,High,Moderate,Moderate,High,Moderate,Very High,High,Very High,High,High,High,High,Very High,Moderate,2,4,1,6,8,1,2
146,Female,Second year,Mathematics,26-33,At home,Alone,"Lectures, Online courses and tutorials","Books, YouTube videos",No,Private life problems,Lack of time,Lack of time,Pressure,3.0,5.0,5.0,5-7 hours,3.0,7.0,8.0,8.0,8.0,Lack of previous knowledge or experience in the field,Positively,2,1.0,15.0,13.0,14.0,Moderate,High,High,High,Moderate,Very High,High,High,Moderate,Moderate,High,Moderate,High,High,Very High,High,High,High,High,High,High,3,2,6,1,8,1,2
147,Male,Second year,Mathematics,18-25,At home,Alone,Learning by practicing;Mind mapping and visualization;Online courses and tutorials,Books;Online documents;YouTube videos,Yes,Lack of previous knowledge or experience in the field,Not having a good (powerful) computer,Not having a good (powerful) computer,Teaching language,3.0,4.0,5.0,5-7 hours,3.0,8.0,7.0,7.0,9.0,Lack of previous knowledge or experience in the field,You do not care about,2,1.0,15.0,14.0,14.0,Very High,High,Moderate,High,Very High,High,High,High,Moderate,High,Very High,High,High,High,Very High,High,High,High,High,High,High,3,2,6,0,8,0,1
148,Female,Second year,Technical maths,18-25,At home,Alone,Learning by practicing;Online courses and tutorials,YouTube videos,No,Private life problems,Bad quality of internet,Teaching language,Not having a good (powerful) computer,1.0,5.0,2.0,5-7 hours,2.0,5.0,5.0,4.0,3.0,Lack of previous knowledge or experience in the field,You do not care about,2,1.0,15.0,14.0,14.0,Moderate,Moderate,High,High,High,High,Moderate,High,Moderate,Moderate,Moderate,High,High,High,Very High,High,High,High,High,High,High,3,2,6,1,8,0,2
149,Male,Third year,Mathematics,18-25,In your room (dorms),Alone,Lectures;Online courses and tutorials,Online tutorials;Online documents;YouTube videos,No,Bad quality of internet,Teaching language,Private life problems,Not having a good (powerful) computer,3.0,3.0,4.0,8 hours or more,3.0,7.0,7.0,7.0,8.0,Bad quality of internet,You do not care about,3,2.0,15.0,14.0,14.0,High,Moderate,High,High,High,Moderate,High,High,Moderate,High,High,High,High,High,Very High,High,High,High,High,High,High,5,2,1,4,4,1,2
150,Male,Second year,Science,10-17,In your room (dorms),Alone,"Lectures, Learning by practicing, Online courses and tutorials",YouTube videos,No,Teachers' teaching method,Teaching language,Not having a good (powerful) computer,Private life problems,3.0,4.0,4.0,5-7 hours,3.0,6.0,8.0,5.0,4.0,Bad quality of internet,You do not care about,2,1.0,15.0,14.0,14.0,High,Moderate,High,High,High,Very High,High,High,High,High,High,High,Very High,High,Very High,High,High,High,Very High,Very High,High,3,2,1,1,8,1,2
