record_id,timestamp,what is your gender,in which year of your studies are you currently enrolled,what was your bac specialty,how many hours per week do you spend studying personnal efforts,where do you prefer to study,you prefer to study,what learning methods do help you understand better,what types of resources do you use most,do you use a planer or a schedule in your revisions,for the next 8 questions you will have a list of problems obstacles classify them according to how much they influence your studies 1 first,2 second,3 third,4 fourth,5 fifth,6 sixth,7 seventh,8 eighth,other problems that you face,rate your satisfaction with the school s program,do you engage in any external activities not related to the study field,your level of motivation for joining ensia,how much do you like the field of artificial intelligence,how do other s feedback influence you,how many hours do you sleep,how well do you handle stress and pressure,in a scale of 1 to 10 how do you rate your level in the following fields 1 english,2 programming,3 computer science,4 mathematics,1y average s1,1y average s2,1y average,2y average s1,2y average s2,2y average,3y average s1,3y average s2,3y average,1y foundational mathematics,1y dsa1,1y digital systems,1y information technology essentials,1y english 1,1y cpsct,1y oop,1y introduction to linux,1y linear algebra,1y mathematical analysis 1,1y introduction to statistics,1y english 2,2y dsa 2,2y logic,2y mathematical analysis 2,2y databases,2y probability,2y web development,2y introduction to business,2y theory of computing,2y operating systems,2y computer architecture,2y statistical inference,2y introduction to ai,2y mathematical analysis 3,2y electronic circuits labs,3y data mining,3y operations research,3y stochastic,3y software engineering,3y networks and protocols,3y mobile development,3y entrepreneurship and innovation,3y machine learning,3y numerical methods and optimisation,3y time series,3y advanced databases,3y computer and network security,4 forth,how do others feedbacks influence you,1y intensive english,1y seminar,1y analysis i,1y algebra,1y a com i,1y intro prog c,1y analysis ii,1y a com ii,1y proba stat,2y analysis iii,2y dsa,2y archi 1,2y complexity,2y proba stat ii,2y lin alg ii,2y intro ai,2y oper res,2y archi ii,2y oper syst,2y soft eng,2y web prog,2y intro busin
205,2025/01/08 6:19:04 PM GMT+1,Female,Thirs year,Science,18-25,In your room (dorms),Alone,Lectures;Online courses and tutorials,YouTube videos,No,Lack of time,Lack of previous knowledge or experience in the field,Teachers' teaching method,Bad quality of internet,Private life problems,Teaching language,Private life problems,Not having a good (powerful) computer,,2,Yes,4,4,Positively,5-7 hours,2,6,5,4,7,,,,,,,,,,Moderate,Moderate,Moderate,Moderate,High,High,High,Low,Moderate,High,High,High,Moderate,Moderate,High,Moderate,Low,High,High,High,Moderate,Moderate,Moderate,Moderate,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
206,2025/01/10 10:21:25 AM GMT+1,Male,Second year,Science,18-25,In your room (dorms),With a group,Lectures;Learning by practicing;Mind mapping and visualization,Books;Online tutorials;YouTube videos,No,Pressure,Lack of time,Lack of previous knowledge or experience in the field,Bad quality of internet,Teaching language,Not having a good (powerful) computer,Private life problems,Teachers' teaching method,,3,Yes,3,2,Positively,5-7 hours,3,6,4,4,6,,,,,,,,,,Moderate,Moderate,Moderate,Low,Moderate,High,Moderate,High,Moderate,Moderate,Moderate,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
207,2025/01/08 6:44:38 PM GMT+1,Female,Second year,Mathematics,10-17,In your room (dorms),Alone,Learning by practicing;Mind mapping and visualization,Online tutorials;Online documents;YouTube videos,No,Private life problems,Pressure,Lack of previous knowledge or experience in the field,Teachers' teaching method,Lack of time,Bad quality of internet,Not having a good (powerful) computer,Teaching language,Lack of motivation,3,No,1,4,Negatively,5-7 hours,1,8,5,6,7,,,,,,,,,,Moderate,Moderate,Low,High,Very High,High,Moderate,High,Moderate,High,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
208,2025/01/08 7:17:55 PM GMT+1,Female,Second year,Mathematics,18-25,In your room (dorms),Alone,Learning by practicing;Mind mapping and visualization;Online courses and tutorials,Online tutorials;YouTube videos,Yes,Pressure,Lack of time,Lack of previous knowledge or experience in the field,Private life problems,Teachers' teaching method,Bad quality of internet,Not having a good (powerful) computer,Teaching language,,2,No,3,4,Negatively,5-7 hours,2,7,3,7,7,,,,,,,,,,Moderate,Very Low,Very Low,Moderate,High,Moderate,Very Low,High,High,Low,Moderate,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
209,2025/01/08 11:36:05 PM GMT+1,Female,Thirs year,Mathematics,10-17,In your room (dorms),Alone,Learning by practicing;Mind mapping and visualization,Online documents;YouTube videos;Course material,No,Bad quality of internet,Lack of time,Teachers' teaching method,Lack of previous knowledge or experience in the field,Pressure,Private life problems,Teaching language,Not having a good (powerful) computer,,3,Yes,3,3,You do not care about,5-7 hours,4,10,7,8,7,,,,,,,,,,High,Moderate,,,Very High,Moderate,Moderate,,Moderate,High,Low,Very High,Moderate,High,High,High,Low,Moderate,High,Moderate,Moderate,High,Low,Moderate,Moderate,Moderate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
210,2025/01/08 10:59:07 PM GMT+1,Female,Fourth year,Mathematics,More than 41,In your room (dorms),Alone,Learning by practicing;Project-based learning;Online courses and tutorials,Books;Online tutorials;Online documents,No,Teachers' teaching method,Not having a good (powerful) computer,Lack of time,Bad quality of internet,Pressure,Lack of previous knowledge or experience in the field,Teaching language,Private life problems,,2,No,2,3,You do not care about,5-7 hours,3,7,7,7,6,,,,,,,,,,Moderate,Moderate,,,,,Moderate,,Moderate,Moderate,Low,,,Low,Moderate,Moderate,Low,Moderate,Low,Moderate,Moderate,Very Low,Very Low,Low,Moderate,,Moderate,Very Low,Low,Low,Moderate,Low,High,Moderate,Low,Very High,Moderate,Moderate,,,,,,,,,,,,,,,,,,,,,,,,
211,,Male,First year,Mathematics,More than 41 hours,In the school's library,With a group,"Lectures, Learning by practicing","Online tutorials, YouTube videos",Yes,Teaching language,Bad quality of internet,Lack of time,,Teachers' teaching method,Pressure,Not having a good (powerful) computer,Private life problems,,1,No,1,1,,8 hours or more,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lack of previous knowledge or experience in the field,Positively,,,,,,,,,,,,,,,,,,,,,,
212,,Female,First year,Science,10-17,At home,Alone,"Lectures, Learning by practicing, Mind mapping and visualization","Online documents, YouTube videos",Yes,Lack of previous knowledge or experience in the field,Lack of time,Pressure,,Bad quality of internet,Teachers' teaching method,Not having a good (powerful) computer,Private life problems,,1,No,5,4,,5-7 hours,5,3,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Teaching language,Negatively,,,,,,,,,,,,,,,,,,,,,,
213,,Female,First year,Science,34-41,In your room (dorms),Alone,"Learning by practicing, Online courses and tutorials",YouTube videos,Yes,Lack of previous knowledge or experience in the field,Lack of time,Pressure,,Teaching language,Bad quality of internet,Not having a good (powerful) computer,Not having a good (powerful) computer,,1,Yes,2,2,,5-7 hours,1,5,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Teachers' teaching method,Negatively,,,,,,,,,,,,,,,,,,,,,,
214,,Female,First year,Science,10-17,In your room (dorms),Alone,"Lectures, Learning by practicing, Project-based learning, Mind mapping and visualization, Interactive workshops, Online courses and tutorials","Books, Online tutorials, Online documents, YouTube videos, Private courses",Yes,Teachers' teaching method,Not having a good (powerful) computer,Bad quality of internet,,Lack of previous knowledge or experience in the field,Lack of time,Pressure,Private life problems,,1,Yes,1,3,,4 hours or less,5,5,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Teaching language,You do not care about,,,,,,,,,,,,,,,,,,,,,,
215,,Female,First year,Science,10-17,In your room (dorms),Alone,"Learning by practicing, Online courses and tutorials",YouTube videos,No,Teachers' teaching method,Pressure,Bad quality of internet,,Lack of previous knowledge or experience in the field,Private life problems,Teaching language,Teaching language,,1,No,1,5,,8 hours or more,2,2,1,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lack of time,You do not care about,,,,,,,,,,,,,,,,,,,,,,
216,2025/01/08 7:16:59 PM GMT+1,Female,First year,Mathematics,34-41,In the school's library,Alone,Mind mapping and visualization;Interactive workshops;Online courses and tutorials,Books;Online documents;YouTube videos,No,Lack of time,Pressure,Lack of previous knowledge or experience in the field,Teaching language,Bad quality of internet,Not having a good (powerful) computer,Teachers' teaching method,Private life problems,Mathematics teachers teaches with french,3,Yes,3,4,Positively,4 hours or less,2,5,1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
217,,Female,First year,Technical maths,26-33,In your room (dorms),Alone,Online courses and tutorials,YouTube videos,Yes,Lack of previous knowledge or experience in the field,Teachers' teaching method,Pressure,,Bad quality of internet,Teaching language,Not having a good (powerful) computer,Private life problems,,2,Yes,3,4,,8 hours or more,1,7,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lack of time,Negatively,,,,,,,,,,,,,,,,,,,,,,
218,,Male,First year,Mathematics,18-25,In your room (dorms),With a group,"Learning by practicing, Online courses and tutorials","Books, Online tutorials, Online documents, YouTube videos",No,Lack of time,Bad quality of internet,Pressure,,Lack of previous knowledge or experience in the field,Private life problems,Not having a good (powerful) computer,Teaching language,,2,No,2,4,,5-7 hours,3,8,2,2,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Teachers' teaching method,Negatively,,,,,,,,,,,,,,,,,,,,,,
219,,Female,First year,Mathematics,10-17,In your room (dorms),Alone,"Learning by practicing, Mind mapping and visualization","Books, Online tutorials",No,Teaching language,Lack of time,Pressure,,Not having a good (powerful) computer,Lack of previous knowledge or experience in the field,Teachers' teaching method,Private life problems,,4,No,4,4,,8 hours or more,2,1,2,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bad quality of internet,You do not care about,,,,,,,,,,,,,,,,,,,,,,
220,,Male,First year,Science,26-33,In your room (dorms),In peer,"Learning by practicing, Mind mapping and visualization, Interactive workshops, Online courses and tutorials","Books, Online tutorials, YouTube videos",Yes,Pressure,Lack of time,Lack of previous knowledge or experience in the field,,Teaching language,Private life problems,Bad quality of internet,Not having a good (powerful) computer,,3,Yes,4,4,,5-7 hours,3,7,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Teachers' teaching method,You do not care about,,,,,,,,,,,,,,,,,,,,,,
221,2025/01/09 11:47:41 AM GMT+1,Female,First year,Technical maths,10-17,In your room (dorms),Alone,Online courses and tutorials,YouTube videos,No,Pressure,Lack of time,Private life problems,Teachers' teaching method,Not having a good (powerful) computer,Bad quality of internet,Lack of previous knowledge or experience in the field,Teaching language,,2,No,1,2,You do not care about,5-7 hours,1,3,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
222,,Female,Third year,Technical maths,18-25,In your room (dorms),Alone,"Lectures, Learning by practicing, Project-based learning, Mind mapping and visualization, Interactive workshops, Online courses and tutorials","Books, Online tutorials, Online documents, YouTube videos",No,Pressure,Not having a good (powerful) computer,Lack of previous knowledge or experience in the field,,Teaching language,Teachers' teaching method,Bad quality of internet,Private life problems,,2,No,2,3,,5-7 hours,1,6,2,3,2,,,,Moderate,9.0,10.0,,,,,,,,,,,,,,,,,High,,High,,,,,,,,,,,,,,,,,,,,,,,Lack of time,You do not care about,,,,,,,,,,High,High,Moderate,Moderate,Moderate,Moderate,Low,Low,Moderate,Moderate,Moderate,Moderate,High
223,,Female,First year,Mathematics,34-41,At home,Alone,Online courses and tutorials,"Online documents, YouTube videos",No,Teachers' teaching method,Pressure,Lack of time,,Bad quality of internet,Teaching language,Private life problems,Not having a good (powerful) computer,,1,Yes,2,4,,8 hours or more,2,7,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lack of previous knowledge or experience in the field,You do not care about,,,,,,,,,,,,,,,,,,,,,,
224,2025/01/08 6:14:32 PM GMT+1,Male,First year,Mathematics,10-17,In your room (dorms),Alone,Online courses and tutorials,YouTube videos,No,Teachers' teaching method,Pressure,Lack of time,Lack of previous knowledge or experience in the field,Bad quality of internet,Lack of time,Teachers' teaching method,Teachers' teaching method,الاساتذة كاين لي طريقتو لا تناسب (وهذا باجماع كل الطلبة مشي انا برك),1,No,1,2,Positively,5-7 hours,3,6,2,2,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
225,,Male,First year,Technical maths,18-25,In your room (dorms),Alone,"Learning by practicing, Online courses and tutorials","Online tutorials, YouTube videos",No,Pressure,Teaching language,Lack of previous knowledge or experience in the field,,Teachers' teaching method,Bad quality of internet,Private life problems,Not having a good (powerful) computer,,2,No,1,1,,8 hours or more,5,2,2,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lack of time,You do not care about,,,,,,,,,,,,,,,,,,,,,,
226,2025/01/08 7:19:28 PM GMT+1,Female,First year,Mathematics,10-17,In the school's library,Alone,Learning by practicing;Mind mapping and visualization,Online tutorials;YouTube videos,No,Pressure,Lack of time,Bad quality of internet,Private life problems,Teachers' teaching method,Teaching language,Lack of previous knowledge or experience in the field,Not having a good (powerful) computer,Not having motivation to study,2,No,1,3,Negatively,5-7 hours,1,5,3,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
227,2025/01/08 6:27:55 PM GMT+1,Female,First year,Mathematics,10-17,In your room (dorms),Alone,Online courses and tutorials,YouTube videos,Yes,Pressure,Lack of time,Lack of previous knowledge or experience in the field,Teachers' teaching method,Teaching language,Private life problems,Bad quality of internet,Not having a good (powerful) computer,,2,No,3,4,Negatively,5-7 hours,1,5,3,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
228,,Male,First year,Mathematics,26-33,At home,In peer,"Learning by practicing, Mind mapping and visualization","Online tutorials, Online documents, YouTube videos",No,Lack of time,Pressure,Lack of previous knowledge or experience in the field,,Teaching language,Not having a good (powerful) computer,Bad quality of internet,Private life problems,,3,No,4,5,,5-7 hours,3,5,3,3,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Teachers' teaching method,Negatively,,,,,,,,,,,,,,,,,,,,,,
229,2025/01/08 11:03:59 PM GMT+1,Female,First year,Mathematics,10-17,In the school's library,Alone,Learning by practicing,YouTube videos,No,Private life problems,Pressure,Lack of time,Teachers' teaching method,Teaching language,Lack of previous knowledge or experience in the field,Bad quality of internet,Not having a good (powerful) computer,,3,No,2,3,Negatively,5-7 hours,2,7,3,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
230,,Female,First year,Science,18-25,In the school's library,In peer,"Mind mapping and visualization, Online courses and tutorials","Online documents, YouTube videos",No,Teachers' teaching method,Pressure,Lack of previous knowledge or experience in the field,,Lack of time,Private life problems,Teaching language,Not having a good (powerful) computer,,2,No,3,4,,8 hours or more,2,7,3,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bad quality of internet,You do not care about,,,,,,,,,,,,,,,,,,,,,,
231,,Female,First year,Technical maths,10-17,At home,Alone,Online courses and tutorials,YouTube videos,No,Lack of previous knowledge or experience in the field,Private life problems,Teachers' teaching method,,Pressure,Pressure,Pressure,Pressure,,1,No,1,1,,8 hours or more,1,5,3,3,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Teaching language,You do not care about,,,,,,,,,,,,,,,,,,,,,,
232,,Female,First year,Science,10-17,In your room (dorms),Alone,"Learning by practicing, Online courses and tutorials",YouTube videos,No,Teaching language,Private life problems,Lack of time,,Teachers' teaching method,Lack of previous knowledge or experience in the field,Bad quality of internet,Not having a good (powerful) computer,,1,No,2,4,,5-7 hours,2,8,3,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pressure,Negatively,,,,,,,,,,,,,,,,,,,,,,
233,,Female,First year,Technical maths,10-17,In the school's library,In peer,Learning by practicing,"Online documents, YouTube videos",Yes,Lack of time,Teachers' teaching method,Teaching language,,Private life problems,Lack of previous knowledge or experience in the field,Bad quality of internet,Bad quality of internet,,1,Yes,1,4,,5-7 hours,4,4,3,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bad quality of internet,Negatively,,,,,,,,,,,,,,,,,,,,,,
234,,Male,First year,Mathematics,18-25,In your room (dorms),Alone,"Mind mapping and visualization, Interactive workshops",YouTube videos,No,Lack of time,Teaching language,Pressure,,Teachers' teaching method,Private life problems,Bad quality of internet,Not having a good (powerful) computer,,2,No,3,1,,8 hours or more,4,6,3,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lack of previous knowledge or experience in the field,Positively,,,,,,,,,,,,,,,,,,,,,,
235,2025/01/08 6:42:34 PM GMT+1,Female,First year,Mathematics,10-17,In the school's library,Alone,Learning by practicing,Online documents,No,Private life problems,Lack of previous knowledge or experience in the field,Lack of time,Pressure,Teachers' teaching method,Bad quality of internet,Teaching language,Not having a good (powerful) computer,,3,Yes,2,4,Negatively,5-7 hours,4,7,4,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
236,,Female,First year,Mathematics,18-25,In the school's library,In peer,"Learning by practicing, Mind mapping and visualization",YouTube videos,No,Teachers' teaching method,Lack of previous knowledge or experience in the field,Pressure,,Bad quality of internet,Not having a good (powerful) computer,Teaching language,Private life problems,,2,No,2,2,,5-7 hours,3,5,4,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lack of time,Positively,,,,,,,,,,,,,,,,,,,,,,
237,,Female,First year,Mathematics,10-17,At home,Alone,"Learning by practicing, Online courses and tutorials",YouTube videos,No,Lack of time,Lack of previous knowledge or experience in the field,Teachers' teaching method,,Not having a good (powerful) computer,Teaching language,Bad quality of internet,Private life problems,,3,No,5,5,,5-7 hours,3,7,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pressure,You do not care about,,,,,,,,,,,,,,,,,,,,,,
238,,Female,First year,Science,26-33,In your room (dorms),Alone,Mind mapping and visualization,YouTube videos,Yes,Teaching language,Lack of time,Bad quality of internet,,Lack of previous knowledge or experience in the field,Teachers' teaching method,Not having a good (powerful) computer,Private life problems,,1,Yes,5,3,,4 hours or less,3,8,4,1,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pressure,You do not care about,,,,,,,,,,,,,,,,,,,,,,
239,,Female,First year,Technical maths,10-17,In your room (dorms),In peer,"Learning by practicing, Online courses and tutorials",YouTube videos,Yes,Pressure,Lack of time,Lack of previous knowledge or experience in the field,,Teachers' teaching method,Private life problems,Teaching language,Not having a good (powerful) computer,,2,No,3,3,,5-7 hours,2,7,4,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bad quality of internet,Negatively,,,,,,,,,,,,,,,,,,,,,,
240,,Female,First year,Science,26-33,In the school's library,In peer,"Learning by practicing, Mind mapping and visualization, Online courses and tutorials","Online documents, YouTube videos",Yes,Pressure,Lack of time,Lack of previous knowledge or experience in the field,,Teachers' teaching method,Private life problems,Teaching language,Not having a good (powerful) computer,,2,No,1,4,,5-7 hours,1,7,4,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bad quality of internet,Negatively,,,,,,,,,,,,,,,,,,,,,,
241,,Female,First year,Mathematics,34-41,In the school's library,With a group,Learning by practicing,YouTube videos,Yes,Pressure,Lack of time,Bad quality of internet,,Teachers' teaching method,Teaching language,Private life problems,Not having a good (powerful) computer,,2,No,4,5,,5-7 hours,3,7,4,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lack of previous knowledge or experience in the field,Positively,,,,,,,,,,,,,,,,,,,,,,
242,,Female,First year,Mathematics,10-17,At home,Alone,"Learning by practicing, Mind mapping and visualization, Online courses and tutorials","Online tutorials, YouTube videos",No,Lack of time,Pressure,Lack of previous knowledge or experience in the field,,Bad quality of internet,Not having a good (powerful) computer,Teaching language,Private life problems,,2,Yes,1,2,,5-7 hours,3,8,4,2,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Teachers' teaching method,You do not care about,,,,,,,,,,,,,,,,,,,,,,
243,2025/01/08 6:37:08 PM GMT+1,Female,First year,Mathematics,18-25,In your room (dorms),Alone,Learning by practicing;Mind mapping and visualization,Online tutorials;Online documents;YouTube videos,Yes,Bad quality of internet,Pressure,Lack of time,Lack of previous knowledge or experience in the field,Private life problems,Teachers' teaching method,Teaching language,Not having a good (powerful) computer,,3,No,3,5,You do not care about,8 hours or more,4,6,4,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
244,,Female,First year,Mathematics,34-41,In your room (dorms),Alone,"Learning by practicing, Project-based learning, Mind mapping and visualization, Online courses and tutorials","Books, Online tutorials, Online documents, YouTube videos",No,Lack of time,Pressure,Pressure,,Lack of previous knowledge or experience in the field,Private life problems,Bad quality of internet,Not having a good (powerful) computer,,3,No,3,1,,5-7 hours,2,3,4,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Teachers' teaching method,You do not care about,,,,,,,,,,,,,,,,,,,,,,
245,2025/01/09 8:40:20 PM GMT+1,Male,First year,Science,18-25,In your room (dorms),In peer,Lectures;Learning by practicing;Online courses and tutorials,Online tutorials;Online documents;YouTube videos,No,Lack of time,Pressure,Lack of previous knowledge or experience in the field,Teaching language,Teachers' teaching method,Bad quality of internet,Private life problems,Not having a good (powerful) computer,,2,No,2,4,Positively,5-7 hours,2,5,4,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
246,,Female,First year,Technical maths,10-17,In your room (dorms),Alone,"Lectures, Online courses and tutorials","Online tutorials, Online documents, YouTube videos",No,Lack of time,Pressure,Teachers' teaching method,,Teaching language,Not having a good (powerful) computer,Teaching language,Private life problems,,2,No,4,3,,5-7 hours,2,6,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lack of previous knowledge or experience in the field,You do not care about,,,,,,,,,,,,,,,,,,,,,,
247,,Male,First year,Science,10-17,In the school's library,Alone,Learning by practicing,YouTube videos,No,Lack of time,Pressure,Teachers' teaching method,,Teaching language,Private life problems,Bad quality of internet,Not having a good (powerful) computer,,4,Yes,2,3,,8 hours or more,3,7,4,5,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lack of previous knowledge or experience in the field,You do not care about,,,,,,,,,,,,,,,,,,,,,,
248,,Female,First year,Technical maths,More than 41 hours,At home,Alone,Learning by practicing,YouTube videos,No,Lack of previous knowledge or experience in the field,Teaching language,Teachers' teaching method,,Lack of time,Lack of previous knowledge or experience in the field,Lack of time,Teaching language,,2,Yes,2,2,,4 hours or less,1,5,4,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lack of time,Positively,,,,,,,,,,,,,,,,,,,,,,
249,,Female,Third year,Mathematics,10-17,In your room (dorms),Alone,"Lectures, Learning by practicing, Project-based learning, Mind mapping and visualization","Online tutorials, YouTube videos",Yes,Not having a good (powerful) computer,Bad quality of internet,Teachers' teaching method,,Pressure,Lack of time,Private life problems,Teaching language,,2,No,4,4,,5-7 hours,2,10,5,6,6,,,,Moderate,11.0,11.0,,,,,,,,,,,,,,,,,Moderate,,Moderate,,,,,,,,,,,,,,,,,,,,,,,Lack of previous knowledge or experience in the field,Negatively,,,,,,,,,,High,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,High,High,Moderate,High
250,,Female,Third year,Mathematics,10-17,At home,With a group,"Lectures, Learning by practicing, Interactive workshops","Books, Online tutorials, YouTube videos",No,Lack of time,Lack of previous knowledge or experience in the field,Pressure,,Bad quality of internet,Pressure,Not having a good (powerful) computer,Private life problems,,3,Yes,3,3,,5-7 hours,3,5,5,5,5,,,,High,11.0,12.0,,,,,,,,,,,,,,,,,Moderate,,High,,,,,,,,,,,,,,,,,,,,,,,Teaching language,Positively,,,,,,,,,,High,Moderate,Moderate,High,Moderate,High,Moderate,High,Moderate,High,Moderate,Moderate,High
251,,Female,First year,Science,34-41,At home,Alone,"Learning by practicing, Mind mapping and visualization, Interactive workshops, Online courses and tutorials","Online tutorials, Online documents, YouTube videos",Yes,Lack of previous knowledge or experience in the field,Lack of previous knowledge or experience in the field,Lack of previous knowledge or experience in the field,,Lack of previous knowledge or experience in the field,Private life problems,Lack of previous knowledge or experience in the field,Private life problems,,2,No,3,3,,5-7 hours,3,7,5,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lack of previous knowledge or experience in the field,You do not care about,,,,,,,,,,,,,,,,,,,,,,
252,2025/01/08 6:00:16 PM GMT+1,Male,First year,Science,10-17,In your room (dorms),Alone,Lectures;Learning by practicing;Mind mapping and visualization,Online documents;YouTube videos,No,Teachers' teaching method,Lack of previous knowledge or experience in the field,Lack of time,Bad quality of internet,Teaching language,Pressure,Not having a good (powerful) computer,Private life problems,,3,No,1,1,Positively,8 hours or more,3,8,5,5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
253,,Male,First year,Mathematics,10-17,In your room (dorms),Alone,"Learning by practicing, Project-based learning","Online tutorials, YouTube videos",No,Pressure,Lack of time,Private life problems,,Teachers' teaching method,Lack of previous knowledge or experience in the field,Not having a good (powerful) computer,Bad quality of internet,,4,Yes,5,5,,5-7 hours,3,6,5,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Private life problems,You do not care about,,,,,,,,,,,,,,,,,,,,,,
254,,Male,First year,Science,34-41,In your room (dorms),Alone,"Learning by practicing, Online courses and tutorials","Online tutorials, YouTube videos, Private courses",Yes,Pressure,Lack of time,Teaching language,,Bad quality of internet,Teachers' teaching method,Private life problems,Not having a good (powerful) computer,,3,Yes,3,4,,5-7 hours,2,4,5,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lack of previous knowledge or experience in the field,Negatively,,,,,,,,,,,,,,,,,,,,,,
